trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-66.06086110723211,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-122.681524606284,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-129.7546832241042,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-118.669354036201,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-40.407210106136375,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-129.81526211566813,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,16,-64.2509012896457,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,6,-94.28761570601705,"{0: 16, 1: 6, 2: 0, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-8.851981571002053,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,4,-25.58740268967024,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-69.2075598744098,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,10,-7.736543244754352,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,11,-6.729739573839389,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,15,-5.059977793997991,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,12,0.1534825431531146,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-44.874564071917646,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-82.76047495204274,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-5.010888603527857,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,2,-53.24540839785956,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,8.291964391393293,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,16,-20.877386270450685,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,12,9.066770329779587,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,29.601116834174988,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-18.38328542762996,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,12,-29.021884635889666,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,6,-27.848153634274297,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,8,20.49646165730416,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,12,2.269697416115445,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",35,22,-73.21038062077272,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,3.1401674161328508,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
