trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,1,-7.293895261294889,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9801}",35,0,-167.19325860208787,"{0: 23, 1: 4, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.970299}",25,0,-120.7840899792534,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9605960100000001}",25,0,-201.41652858985069,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9509900499}",20,0,-40.471129451067625,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-43.84855123705083,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.93206534790699}",25,0,-126.79684232851098,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279202}",25,12,-28.17248151264966,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9135172474836409}",25,0,-124.81032073822365,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088045}",20,0,-84.97559672206971,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587165}",20,0,-115.89059833724122,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161293}",20,0,-69.84023378567514,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989681}",20,0,-15.924963635831748,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689783}",30,0,-129.3774454084929,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412885}",30,0,-142.13052808685129,"{0: 19, 1: 0, 2: 9, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948756}",20,0,-114.31296332595072,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839269}",20,0,-174.50609936534883,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500876}",20,2,-26.702344024788367,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.8261686238355868}",25,0,-38.08566271951605,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972309}",20,0,-112.37287802139937,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212585}",30,0,-108.07441174868656,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.801630589539046}",25,0,-142.11085277703518,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436555}",20,12,-10.860534531119956,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.785678140807219}",25,0,-110.15099787873592,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991468}",25,8,-125.28606936015639,"{0: 10, 1: 4, 2: 0, 3: 0, 4: 3}",1
26,False,"{'a': 0.5, 'e': 0.7700431458051553}",20,0,-73.54602664145843,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471038}",20,0,-127.62507747271415,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036327}",30,16,-14.345618582985804,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.7471720943315964}",25,1,-45.348216630402796,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.7397003733882804}",20,0,-72.56845234369653,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543976}",25,0,-64.7206185179018,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.7249803359578536}",20,0,-120.76798999019937,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.717730532598275}",20,0,-47.446293600499295,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722923}",30,3,-19.07657664056521,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.7034476949995694}",20,0,-0.6090328398578664,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495737}",20,9,8.573409810511366,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.6894490858690779}",25,15,-32.031571121610206,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.6825545950103872}",20,0,-7.468856087897606,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602833}",20,0,-73.24830353856908,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.6689717585696805}",25,0,-92.51634544940285,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839837}",25,4,-6.356453517374589,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.6556592205741438}",30,0,-207.27558317007683,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
